ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
7507	Potassium channel complex (KCNB1, KCNE1)	Human	Kv2.1-MinK complex	CHO cotransfected cells	P15382;Q14721	3753;3745	MI:0046-experimental knowledge based	GO:0005267;GO:0034705;GO:0008076	potassium channel activity;potassium channel complex;voltage-gated potassium channel complex	None	None	KCNE1;KCNB1	None	19219384	Kv2.1 is a voltage-gated potassium (Kv) channel alpha-subunit expressed in mammalian heart and brain. MinK-related peptides (MiRPs), encoded by KCNE genes, are single-transmembrane domain ancillary subunits that form complexes with Kv channel alpha-subunits to modify their function. Human MinK slowed Kv2.1 activation 25%, while human MiRP1 slowed Kv2.1 activation and deactivation twofold. Inherited mutations in human MinK and MiRP1, previously associated with LQTS, were also evaluated. D76N-MinK and S74L-MinK reduced Kv2.1 current density (threefold and 40%, respectively) and slowed deactivation (60% and 80%, respectively). Compared to wild-type human MiRP1-Kv2.1 complexes, channels formed with M54T- or I57T-MiRP1 showed greatly slowed activation (tenfold and fivefold, respectively).	Mutations in human MinK (KCNE1) and MiRP1 (KCNE2) are associated with inherited and acquired forms of long QT syndrome (LQTS).	Homo sapiens (Human);Homo sapiens (Human)	MinK;Kv2.1	Potassium voltage-gated channel subfamily E member 1;Potassium voltage-gated channel subfamily B member 1
7508	Il1rap-Il1rl1-Kit-Myd88 complex	Mouse	IL-33R-IL-1RAcP-c-Kit-MyD88 complex	Bone marrow mononuclear cells from mice.	P05532;P14719;P22366;Q61730	16590;17082;17874;16180	MI:0029-cosedimentation through density gradients;MI:0276-blue native page	None	None	None	None	Kit;Il1rl1;Myd88;Il1rap	None	20200353	The Il1rap-Il1rl1-Kit-Myd88 complex is SCF-induced (stem cell factor) has a molecular mass of approximately 1000 kDa.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Sl;Ly84,St2,Ste2;None;None	Mast/stem cell growth factor receptor Kit;Interleukin-1 receptor-like 1;Myeloid differentiation primary response protein MyD88;Interleukin-1 receptor accessory protein
7509	IL1RAP-IL1RL1-KIT complex	Human	None	HMC-1.1 cells	P10721;Q01638;Q9NPH3	3815;9173;3556	MI:0019-coimmunoprecipitation	GO:0008063	Toll signaling pathway	None	None	KIT;IL1RL1;IL1RAP	None	20200353	Kit and IL1RAP (IL-1RAcP) interact constitutively and IL1RL1 (IL-33R) joins this complex upon ligand binding.  Association of IL1RL1 with KIT depends on cholesterol-rich membrane microdomains.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SCFR;DER4,ST2,T1;C3orf13,IL1R3	Mast/stem cell growth factor receptor Kit;Interleukin-1 receptor-like 1;Interleukin-1 receptor accessory protein
7510	IL1RAP-KIT complex	Human	None	HMC-1.1 cells	P10721;Q9NPH3	3815;3556	MI:0019-coimmunoprecipitation	GO:0008063	Toll signaling pathway	None	None	KIT;IL1RAP	None	20200353	IL1RAP (c-Kit) interacts constitutively with IL-1RAcP and not ligand-dependent.	None	Homo sapiens (Human);Homo sapiens (Human)	SCFR;C3orf13,IL1R3	Mast/stem cell growth factor receptor Kit;Interleukin-1 receptor accessory protein
7511	Potassium channel complex (Kcnb1, Kcne1)	Rat	Kv2.1-MinK complex	rat heart tissue	P15383;P15387	25471;25736	MI:0019-coimmunoprecipitation	GO:0005267;GO:0034705;GO:0008076	potassium channel activity;potassium channel complex;voltage-gated potassium channel complex	None	None	Kcne1;Kcnb1	None	19219384	Kv2.1 is a voltage-gated potassium (Kv) channel alpha-subunit expressed in mammalian heart and brain. MinK-related peptides (MiRPs), encoded by KCNE genes, are single-transmembrane domain ancillary subunits that form complexes with Kv channel alpha-subunits to modify their function. With native coimmunoprecipitations native MinK-Kv2.1 and MiRP1-Kv2.1 complexes in rat heart tissue were detected.	Mutations in human MinK (KCNE1) and MiRP1 (KCNE2) are associated with inherited and acquired forms of long QT syndrome (LQTS).	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	MinK;Kv2.1	Potassium voltage-gated channel subfamily E member 1;Potassium voltage-gated channel subfamily B member 1
7512	Potassium channel complex (Kcnb1,Kcne2)	Rat	Kv2.1-MiRP1 complex	rat heart tissue	P15387;P63161	25736;171138	MI:0019-coimmunoprecipitation	GO:0005267;GO:0034705;GO:0008076	potassium channel activity;potassium channel complex;voltage-gated potassium channel complex	None	None	Kcnb1;Kcne2	None	19219384	Kv2.1 is a voltage-gated potassium (Kv) channel alpha-subunit expressed in mammalian heart and brain. MinK-related peptides (MiRPs), encoded by KCNE genes, are single-transmembrane domain ancillary subunits that form complexes with Kv channel alpha-subunits to modify their function. With native coimmunoprecipitations native MinK-Kv2.1 and MiRP1-Kv2.1 complexes in rat heart tissue were detected.	Mutations in human MinK (KCNE1) and MiRP1 (KCNE2) are associated with inherited and acquired forms of long QT syndrome (LQTS).	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Kv2.1;MiRP1	Potassium voltage-gated channel subfamily B member 1;Potassium voltage-gated channel subfamily E member 2
7513	PAQR3-SCAP-SREBF2 complex	Human	PAQR3-SCAP-SREBP2 complex	HEK293T cells	Q12770;Q12772;Q6TCH7	22937;6721;152559	MI:0019-coimmunoprecipitation	GO:0042632;GO:0005794	cholesterol homeostasis;Golgi apparatus	34.01.07;70.08	cholesterol homeostasis;Golgi	SCAP;SREBF2;PAQR3	None	26311497	PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level. PAQR3 interacts with SREBP-2 and Scap via distinct structural motifs. Endogenous PAQR3 was able to interact with endogenous Scap or endogenous SREBP-2 by the co-immunoprecipitation assays. PAQR3 could dose-dependently promote the complex formation between Scap and SREBP-2.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	KIAA0199;BHLHD2, SREBP2;None	Sterol regulatory element-binding protein cleavage-activating protein;Sterol regulatory element-binding protein 2;Progestin and adipoQ receptor family member 3
7514	SCAP-SREBF2 complex	Human	SCAP-SREBP2 complex	HEK293T cells	Q12770;Q12772	22937;6721	MI:0019-coimmunoprecipitation	GO:0042632;GO:0005794	cholesterol homeostasis;Golgi apparatus	34.01.07;70.08	cholesterol homeostasis;Golgi	SCAP;SREBF2	None	26311497	PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level. PAQR3 interacts with SREBP-2 and Scap via distinct structural motifs. PAQR3 could dose-dependently promote the complex formation between Scap and SREBP-2.	None	Homo sapiens (Human);Homo sapiens (Human)	KIAA0199;BHLHD2, SREBP2	Sterol regulatory element-binding protein cleavage-activating protein;Sterol regulatory element-binding protein 2
7515	PAQR3-SCAP-complex	Human	None	HEK293T cells	Q12770;Q6TCH7	22937;152559	MI:0019-coimmunoprecipitation	GO:0042632;GO:0005794	cholesterol homeostasis;Golgi apparatus	34.01.07;70.08	cholesterol homeostasis;Golgi	SCAP;PAQR3	None	26311497	PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level. PAQR3 interacts with SREBP-2 and Scap via distinct structural motifs. Endogenous PAQR3 was able to interact with endogenous Scap or endogenous SREBP-2 by the co-immunoprecipitation assays.	None	Homo sapiens (Human);Homo sapiens (Human)	KIAA0199;None	Sterol regulatory element-binding protein cleavage-activating protein;Progestin and adipoQ receptor family member 3
7516	PAQR3-SREBF2 complex	Human	PAQR3-SREBP2 complex	HEK293T cells	Q12772;Q6TCH7	6721;152559	MI:0019-coimmunoprecipitation	GO:0042632;GO:0005794	cholesterol homeostasis;Golgi apparatus	34.01.07;70.08	cholesterol homeostasis;Golgi	SREBF2;PAQR3	None	26311497	PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level. PAQR3 interacts with SREBP-2 and Scap via distinct structural motifs. Endogenous PAQR3 was able to interact with endogenous Scap or endogenous SREBP-2 by the co-immunoprecipitation assays.	None	Homo sapiens (Human);Homo sapiens (Human)	BHLHD2, SREBP2;None	Sterol regulatory element-binding protein 2;Progestin and adipoQ receptor family member 3
7517	Ubiquitin E3 ligase (CUL3, KLHL7, RBX1)	Human	None	HCT116 cells	P62877;Q13618;Q8IXQ5	9978;8452;55975	MI:0007-anti tag coimmunoprecipitation	GO:0031461;GO:0043161	cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;CUL3;KLHL7	None	21828050	None	Ala-153 mutations in KLHL7 that attenuate its interaction and co-localization with Cul3 cause autosomal dominant retinitis pigmentosa.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;KIAA0617;None	E3 ubiquitin-protein ligase RBX1;Cullin-3;Kelch-like protein 7
7518	Ubiquitin E3 ligase (CUL3, KLHL8)	Human	None	293T cells	Q13618;Q9P2G9	8452;57563	MI:0007-anti tag coimmunoprecipitation	GO:0031461;GO:0043161	cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	CUL3;KLHL8	None	19158078	Rapsyn, a postsynaptic protein required for clustering of nicotinic acetylcholine receptors (nAChRs) at the neuromuscular junction is polyubiquitinated by a KLHL8-containing E3 ligase.	None	Homo sapiens (Human);Homo sapiens (Human)	KIAA0617;KIAA1378	Cullin-3;Kelch-like protein 8
7520	INSIG1-SCAP complex	Human	None	HEK293T cells	O15503;Q12770	3638;22937	MI:0019-coimmunoprecipitation	GO:0016125;GO:0005783	sterol metabolic process;endoplasmic reticulum	70.07	endoplasmic reticulum	INSIG1;SCAP	None	26311497	Under cholesterol sufficient condition, Insigs act as anchor proteins to retain Scap/SREBP in the ER. Immunoprecipitation of PAQR3 could only bring down Scap but not Insig-1. Likewise, immunoprecipitation of Insig-1 could only bring down Scap but not PAQR3. Overexpression of PAQR3 was able to reduce Insig/Scap interaction in a dose-dependent manner. The results indicated that PAQR3 and Insig can mutually exclusively compete for Scap interaction, leading to either activation of SREBP by anchoring it to the GA (via PAQR3) or inactivation of SREBP by anchoring it to the ER (via Insig).  The mutually exclusive interaction between Scap and PAQR3 or Insig-1 is regulated by cholesterol level.	None	Homo sapiens (Human);Homo sapiens (Human)	None;KIAA0199	Insulin-induced gene 1 protein;Sterol regulatory element-binding protein cleavage-activating protein
7521	INSIG1-PAQR3 complex	Human	None	HEK293T cells	O15503;Q6TCH7	3638;152559	MI:0019-coimmunoprecipitation	GO:0005783;GO:0016125	endoplasmic reticulum;sterol metabolic process	70.07	endoplasmic reticulum	INSIG1;PAQR3	None	26311497	Under cholesterol sufficient condition, Insigs act as anchor proteins to retain Scap/SREBP in the ER. Immunoprecipitation of PAQR3 could only bring down Scap but not Insig-1. Likewise, immunoprecipitation of Insig-1 could only bring down Scap but not PAQR3. Overexpression of PAQR3 was able to reduce Insig/Scap interaction in a dose-dependent manner. The results indicated that PAQR3 and Insig can mutually exclusively compete for Scap interaction, leading to either activation of SREBP by anchoring it to the GA (via PAQR3) or inactivation of SREBP by anchoring it to the ER (via Insig). The mutually exclusive interaction between Scap and PAQR3 or Insig-1 is regulated by cholesterol level.	None	Homo sapiens (Human);Homo sapiens (Human)	None;None	Insulin-induced gene 1 protein;Progestin and adipoQ receptor family member 3
7522	Ubiquitin E3 ligase (CUL3, KLHL12, PEF1, PDCD6)	Human	None	HEK293T cells	O75340;Q13618;Q53G59;Q9UBV8	10016;8452;59349;553115	MI:0007-anti tag coimmunoprecipitation	GO:0031461;GO:0030127;GO:0051592;GO:0043161	cullin-RING ubiquitin ligase complex;COPII vesicle coat;response to calcium ion;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	PDCD6;CUL3;KLHL12;PEF1	None	27716508	CUL3 and its adaptor KLHL12 require two calcium-binding proteins, PEF1 and PDCD6 (ALG2), for recognition of their substrate SEC31. PEF1 and ALG2 form a target-specific co-adaptor that translates a transient rise in cytosolic calcium levels into more persistent SEC31 ubiquitylation, which in turn triggers formation of large COPII coats and promotes collagen secretion.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ALG2;KIAA0617;C3IP1;ABP32	Programmed cell death protein 6;Cullin-3;Kelch-like protein 12;Peflin
7523	Ubiquitin E3 ligase (CUL3, KLHL9, KLHL13, RBX1)	Human	None	HeLa cells	P62877;Q13618;Q9P2J3;Q9P2N7	9978;8452;55958;90293	MI:0007-anti tag coimmunoprecipitation;MI:0029-cosedimentation through density gradients	GO:0031461;GO:1902410;GO:0043161	cullin-RING ubiquitin ligase complex;mitotic cytokinetic process;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;CUL3;KLHL9;KLHL13	None	17543862	Ubiquitin E3 ligase (CUL3, KLHL9, KLHL13, RBX1) is essential for mitotic division. In complex with the substrate-specific adaptors KLHL9 and KLHL13, CUL3 is required for correct chromosome alignment in metaphase, proper midzone and midbody formation, and completion of cytokinesis. The complex regulates Aurora B localization on mitotic chromosomes possibly by inhibiting its efficient removal from chromosome arms.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;KIAA0617;KIAA1354;BKLHD2,KIAA1309	E3 ubiquitin-protein ligase RBX1;Cullin-3;Kelch-like protein 9;Kelch-like protein 13
7524	Ubiquitin E3 ligase (CUL3, KLHL20, RBX1)	Human	None	HEK 293T cells	P62877;Q13618;Q9Y2M5	9978;8452;27252	MI:0007-anti tag coimmunoprecipitation	GO:0031461;GO:1904093;GO:0043161	cullin-RING ubiquitin ligase complex;negative regulation of autophagic cell death;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;CUL3;KLHL20	None	20389280	Death-associated protein kinase (DAPK) is a mediator of interferon-induced cell death. The Ubiquitin E3 ligase (CUL3, KLHL20, RBX1) complex promotes DAPK polyubiquitination, thereby inducing the proteasomal degradation of DAPK and attenuation of autophagy. In interferon-treated cells, the enrichment and sequestration of KLHL20 in PML nuclear bodies disrupts KLHL20\u2013DAPK complex, thus impairing DAPK ubiquitination by KLHL20.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;KIAA0617;KLEIP,KLHLX	E3 ubiquitin-protein ligase RBX1;Cullin-3;Kelch-like protein 20
7525	Ubiquitin E3 ligase (CUL3, KLHL24, RBX1)	Human	None	HEK 293T cells	P62877;Q13618;Q6TFL4	9978;8452;54800	MI:0007-anti tag coimmunoprecipitation	GO:0031461;GO:0043161	cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;CUL3;KLHL24	None	27798626	None	Defects in keratin 14 causes skin fragility, epitomized by epidermolysis bullosa (EB), a life-threatening disorder. Stabilizing mutations of Ubiquitin E3 ligase (CUL3, KLHL24, RBX1) causes loss of keratin 14 and human skin fragility.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;KIAA0617;DRE1	E3 ubiquitin-protein ligase RBX1;Cullin-3;Kelch-like protein 24
7526	Ubiquitin E3 ligase (CUL3, KLHL25)	Human	None	HEK293 cells	Q13618;Q9H0H3	8452;64410	MI:0007-anti tag coimmunoprecipitation	GO:0031461;GO:0043161;GO:0006417	cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process;regulation of translation	14.13.01.01;12.07	proteasomal degradation (ubiquitin/proteasomal pathway);translational control	CUL3;KLHL25	None	22578813	Translation via eIF4E activity is controlled by a family of repressor proteins, termed 4E-binding proteins (E4-BPs). Ubiquitin E3 ligase (CUL3, KLHL25) complex plays a key role in ubiquitination and subsequent degradation of the hypophosphorylated 4E-BP1.	None	Homo sapiens (Human);Homo sapiens (Human)	KIAA0617;ENC2	Cullin-3;Kelch-like protein 25
7529	APP-Abeta42-VDAC1 complex	Human	APP(full length)-Abeta(1-42)-VDAC1 complex	frontal and entorhinal cortex of human brains affected by AD; SHSY-5Y cells	P05067;P21796	351;7416	MI:0019-coimmunoprecipitation;MI:0047-far western blotting;MI:0051-fluorescence technologies	GO:0005739;GO:0045121;GO:0008308;GO:0008219	mitochondrion;membrane raft;voltage-gated anion channel activity;cell death	70.16;40.10	mitochondrion;cell death	APP;VDAC1	VDAC1 associates with APP (100 kDa full-length APP) and Abeta (1-42 fragment of APP, oligomeric).	25168729	Voltage-dependent anion channel (VDAC) is a mitochondrial protein abundantly found in neuronal lipid rafts. In these membrane domains, VDAC is associated with a complex of signaling proteins that trigger neuroprotective responses. It is demonstrated that VDAC1 associates with APP (100 kDa full-length APP) and Abeta (1-42 fragment, oligomeric) in lipid rafts of neurons. Interaction of VDAC1 with APP was observed in lipid rafts from the frontal and entorhinal cortex of human brains affected by AD at early stages (I-IV/0-B of Braak and Braak). Furthermore, Abeta exposure enhanced the dephosphorylation of VDAC1 that correlated with cell death. Both effects were reverted in the presence of tyrosine phosphatase inhibitors.	None	Homo sapiens (Human);Homo sapiens (Human)	Amyloid beta precursor protein;VDAC	Amyloid beta A4 protein;Voltage-dependent anion-selective channel protein 1
7530	Ubiquitin E3 ligase (Cul3, ENC1, Rbx1)	Mammalia	Ubiquitin E3 ligase (Cul3, KLHL37, Rbx1)	COS1 cells	B5DF89;O14682;Q498D8	301555;8507;300084	MI:0007-anti tag coimmunoprecipitation	GO:0031461	cullin-RING ubiquitin ligase complex	None	None	Cul3;ENC1;Rbx1	None	15983046	None	None	Rattus norvegicus (Rat);Homo sapiens (Human);Rattus norvegicus (Rat)	None;KLHL37,NRPB,PIG10;None	Cullin-3;Ectoderm-neural cortex protein 1;Protein Rbx1
7531	Ubiquitin E3 ligase (Cul3, GAN1, Rbx1)	Mammalia	Ubiquitin E3 ligase (Cul3, KLHL16, Rbx1)	COS1 cells	B5DF89;Q498D8;Q9H2C0	301555;300084;8139	MI:0007-anti tag coimmunoprecipitation	GO:0031461	cullin-RING ubiquitin ligase complex	None	None	Cul3;Rbx1;GAN	None	15983046	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Homo sapiens (Human)	None;None;GAN1,KLHL16	Cullin-3;Protein Rbx1;Gigaxonin
7532	Ubiquitin E3 ligase (Cul3, Klhl41, Rbx1)	Mammalia	None	COS1 cells	A2AUC9;B5DF89;Q498D8	228003;301555;300084	MI:0007-anti tag coimmunoprecipitation	GO:0031461	cullin-RING ubiquitin ligase complex	None	None	Klhl41;Cul3;Rbx1	None	15983046	None	None	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Kbtbd10;None;None	Kelch-like protein 41;Cullin-3;Protein Rbx1
7533	Ubiquitin E3 ligase (CUL3, KLHL42)	Human	None	HEK293 cells	Q13618;Q9P2K6	8452;57542	MI:0007-anti tag coimmunoprecipitation;MI:0018-two hybrid	GO:0031461;GO:1901990	cullin-RING ubiquitin ligase complex;regulation of mitotic cell cycle phase transition	None	None	CUL3;KLHL42	None	19261606	Overexpression of KLHL42 results in an increased microtubule density, cytoplasmic bridges between cells, and bi-nucleated cells. In contrast, knockdown of KLHL42 protein levels by double strand RNA results in a dramatic reduction in the cellular microtubule framework. Thus, Ubiquitin E3 ligase (CUL3, KLHL42) is required for normal mitosis in mammalian cells.	None	Homo sapiens (Human);Homo sapiens (Human)	KIAA0617;KIAA1340,KLHDC5	Cullin-3;Kelch-like protein 42
7534	CTNNB1-EPCAM-FHL2-LEF1 complex	Human	None	FaDu cells	P16422;P35222;Q14192;Q9UJU2	4072;1499;2274;51176	MI:0029-cosedimentation through density gradients	GO:0005634;GO:0006355;GO:0007165	nucleus;regulation of transcription, DNA-templated;signal transduction	70.10;11.02.03.04;30	nucleus;transcriptional control;CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM	EPCAM;CTNNB1;FHL2;LEF1	None	19136966	EpCAM as a mitogenic signal transducer  involves shedding of its ectodomain EpEX and nuclear translocation of its intracellular domain EpICD. Endogenous EpICD was detected in the nuclear CTNNB1-EPCAM-FHL2-LEF1 complex with a native molecular size of 650 K.	In patients, EpICD was found in nuclei of colon carcinoma but not of normal tissue.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	M1S2,M4S1,MIC18,TACSTD1,TROP1;CTNNB;DRAL SLIM3;None	Epithelial cell adhesion molecule;Catenin beta-1;Four and a half LIM domains protein 2;Lymphoid enhancer-binding factor 1
7535	CD44-LRP1 complex	Human	None	FTC-133 human follicular thyroid carcinoma cell line	P16070;Q07954	960;4035	MI:0007-anti tag coimmunoprecipitation;MI:0029-cosedimentation through density gradients	GO:0006898;GO:0045121;GO:0007155	receptor-mediated endocytosis;membrane raft;cell adhesion	20.09.18.09.01.01;34.07	receptor-mediated endocytosis;cell adhesion	CD44;LRP1	None	22711991	CD44 is routed through early endosomes toward lysosomes in a LRP1-dependent pathway. LRP1-mediated internalization of CD44 proceeds mostly via clathrin-coated pits.	LRP1-mediated endocytosis of CD44 controls tumor cell attachment.	Homo sapiens (Human);Homo sapiens (Human)	LHR MDU2 MDU3 MIC4;A2MR APR	CD44 antigen;Prolow-density lipoprotein receptor-related protein 1
7536	Cubn-Lrp1-PID1 complex	Mammalia	None	NIH3T3 cells	Q7Z2X4;Q91ZX7;Q9JLB4	55022;16971;65969	MI:0007-anti tag coimmunoprecipitation	None	None	None	None	PID1;Lrp1;Cubn	None	17124247	None	None	Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse)	NYGGF4,PCLI1,HMFN2073;A2mr;Ifcr	PTB-containing, cubilin and LRP1-interacting protein;Prolow-density lipoprotein receptor-related protein 1;Cubilin
7537	LRP1-PDGFRB complex	Bovine	None	bovine vascular SMC line CRL 20-18	E1BGJ0;F1N759	None;527165	MI:0019-coimmunoprecipitation	None	None	None	None	LRP1;PDGFRB	None	12690199	None	None	Bos taurus (Bovine);Bos taurus (Bovine)	None;None	LDL receptor related protein 1;Platelet-derived growth factor receptor beta
7538	Mmp2-Timp2 complex	Rat	None	BN16  rat yolk sac cells	P30121;P33436	29543;81686	MI:0013-biophysical	None	None	None	None	Timp2;Mmp2	None	28659595	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None;None	Metalloproteinase inhibitor 2;72 kDa type IV collagenase
7539	Apbb-App-Lrp2 complex	Mouse	None	primary hippocampal neuronal cells	A2ARV4;P12023;Q9QXJ1	14725;11820;11785	MI:0019-coimmunoprecipitation;MI:0055-fluorescent resonance energy transfer	None	None	None	None	Lrp2;App;Apbb1	None	20637285	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None;None;Fe65	Low-density lipoprotein receptor-related protein 2;Amyloid-beta A4 protein;Amyloid-beta A4 precursor protein-binding family B member 1
7540	KMT2E-OGT-USP7 complex	Human	None	HEK293T cells	O15294;Q8IZD2;Q93009	8473;55904;7874	MI:0071-molecular sieving;MI:0007-anti tag coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0005634;GO:0007049;GO:0030097;GO:0006355	nucleus;cell cycle;hemopoiesis;regulation of transcription, DNA-templated	70.10;10.03;41.05.18;11.02.03.04	nucleus;cell cycle;hemopoiesis;transcriptional control	OGT;KMT2E;USP7	None	26678539	The MLL5 protein stability is cooperatively regulated by O-GlcNAc transferase (OGT) and ubiquitin-specific protease 7 (USP7).	MLL5 protein levels are correlated with expression of OGT and USP7 in primary cervical adenocarcinomas.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;MLL5;HAUSP	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit;Inactive histone-lysine N-methyltransferase 2E;Ubiquitin carboxyl-terminal hydrolase 7
7541	KNTC1-ZW10-ZWILCH complex	Human	None	HeLa cells	O43264;P50748;Q9H900	9183;9735;55055	MI:0007-anti tag coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0007093	mitotic cell cycle checkpoint	None	None	ZW10;KNTC1;ZWILCH	None	15824131	The KNTC1-ZW10-ZWILCH complex is essential for the mitotic checkpoint.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;KIAA0166;None	Centromere/kinetochore protein zw10 homolog;Kinetochore-associated protein 1;Protein zwilch homolog
7542	KNL1-MIS12-NDC80-SPC24-ZWINT complex	Human	None	HeLa cells	O14777;O95229;Q8NBT2;Q8NG31;Q9H081	10403;11130;147841;57082;79003	MI:0416-fluorescence microscopy;MI:0007-anti tag coimmunoprecipitation	GO:0007093	mitotic cell cycle checkpoint	None	None	NDC80;ZWINT;SPC24;KNL1;MIS12	None	15824131	ZWINT has a crucial role in the recruitment of ZW10 to unattached kinetochores.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HEC HEC1 KNTC2;None;SPBC24;CASC5,KIAA1570;None	Kinetochore protein NDC80 homolog;ZW10 interactor;Kinetochore protein Spc24;Kinetochore scaffold 1;Protein MIS12 homolog
7543	KPNB1-SMN-SPN complex	Human	None	HeLa cells	P16150;Q14974;Q16637	6693;3837;None	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving	GO:0005737	cytoplasm	70.03	cytoplasm	SPN;KPNB1;SMN1; SMN2	None	12095920	Applying gel filtration, Importin beta (KPNB1), SMN and SPN comigrate in the 400-500 kDa region.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CD43;NTF97;SMN, SMNT, SMNC	Leukosialin;Importin subunit beta-1;Survival motor neuron protein
7544	DKK1-KREMEN1-LRP6 complex	Human	None	HEK cells	O75581;O94907;Q96MU8	4040;22943;83999	MI:0114-x-ray crystallography	None	None	None	None	LRP6;DKK1;KREMEN1	None	27524201	DKK1-KREMEN1-LRP6 complex is also characterized in PMID 12050670.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;KREMEN,KRM1	Low-density lipoprotein receptor-related protein 6;Dickkopf-related protein 1;Kremen protein 1
7545	BORC complex	Human	None	HeLa cells	O95295;P78537;Q6QNY1;Q969J3;Q96B45;Q96FH0;Q96GS4;Q9BQD3	23557;2647;282991;118426;119032;729991;54785;79036	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving	GO:0099078	BORC complex	None	None	SNAPIN;BLOC1S1;BLOC1S2;BORCS5;BORCS7;BORCS8;BORCS6;KXD1	None	25898167	BORC complex associates peripherally with the lysosomal membrane, where it functions to recruit the small GTPase Arl8. This initiates a chain of interactions that promotes the kinesin-dependent movement of lysosomes toward the plus ends of microtubules in the peripheral cytoplasm.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BLOC1S7 SNAP25BP SNAPAP;BLOS1 GCN5L1 RT14;BLOS2 CEAP;LOH12CR1;C10orf32;MEF2BNB;C17orf59;C19orf50	SNARE-associated protein Snapin;Biogenesis of lysosome-related organelles complex 1 subunit 1;Biogenesis of lysosome-related organelles complex 1 subunit 2;BLOC-1-related complex subunit 5;BLOC-1-related complex subunit 7;BLOC-1-related complex subunit 8;BLOC-1-related complex subunit 6;KxDL motif-containing protein 1
